AUTHOR;COUNTRY;DESCRIPTION;KEYWORDUSED;LANGUAGE;LIKEDAT;LIKES;POSTEDAT;URL
Achim Scholtes;;Joana Duarte Kees van Eunen Interssant en mooi citizen science (scholieren-)project aan de Universität Wien: “WienVisibLL – Schüler*innen erforschen die (un)übersehbare Mehrsprachigkeit der Wiener Linguistic Landscape” ... “Forschungsziel: Shop, Café, Döner – wer durch Wien geht, sieht Aufschrift;Sprachen;German;2022-12-10T16:45:16.155364;2;2022-12-10T11:56:55.119917;https://www.linkedin.com/feed/update/urn:li:activity:7007301813620072448/?actorCompanyId=1176657
Christian Kunz;;Neue Podcast-Folge: Das Google Helpful Content Update für alle Sprachen: Was erwartet uns? SEO im Ohr - Folge 231 Shownotes: https://lnkd.in/e2BEXhPZ Spotify: https://lnkd.in/eK-d2knu Apple Podcasts: https://lnkd.in/gH-ECiC Amazon Music: https://lnkd.in/ekbSUWZZ #seo #google #podcast;Sprachen;German;2022-12-10T16:44:32.857355;2;2022-12-10T10:21:39.224213;https://www.linkedin.com/feed/update/urn:li:activity:7007287984718757889/?actorCompanyId=1176657
Professional Business Group;;Professional Business Group enjoyed the Presence of Mr. Farhan Akthar at a very well-known personal brand strategist & Influencer who has contributed to the growth and popularity of various businesses and brands in India, Dubai & Qatar. #professional #business #group #welcome #welcomehome #visit #t;#translationservices;English;2022-12-10T16:08:50.045367;2;2022-12-10T07:55:45.076597;https://www.linkedin.com/feed/update/urn:li:activity:7007250252709670913/?actorCompanyId=1176657
Saikat Sanyal;;Looking forward to attending this event that touches the chord with #expat #communities living in a foreign soil! #languages #culture #Germany 🇩🇪;#languages;English;2022-12-10T15:08:34.230329;2;2022-12-10T08:36:01.851077;https://www.linkedin.com/feed/update/urn:li:activity:7007261565443833856/?actorCompanyId=1176657
Rodrigo Loredo;;What about seasoning your data modeling with some linguistics? Find out in my latest post how and why an analytics engineer with a background in linguistics can level up your grammar of business and keep company metrics consistent. https://lnkd.in/e7e_KBfH Disclaimer: not all the answers are ther;#linguistics;English;2022-12-10T13:58:52.151350;7;2022-12-10T10:48:37.968274;https://www.linkedin.com/feed/update/urn:li:activity:7007289309414178816/?actorCompanyId=1176657
Florian Polak;;Nous continuons notre série sur les startups de linguistique informatique en Europe. Aujourd'hui sur le menu : La France. 🥐 Tucan.ai needs your expertise: Who have we overlooked in our research on computational linguistics startups in France? Merci! 🧡 #ai #research #europe #france #informatique #;#linguistics;English;2022-12-10T13:58:41.889619;3;2022-12-10T11:48:35.804209;https://www.linkedin.com/feed/update/urn:li:activity:7007304340793139200/?actorCompanyId=1176657
Lucie Vejvarová;;One blurry holla from a much needed break somewhere in Kamakura, Japan. Taking couple weeks off to solo travel is my way of coping with all the noise that everyday communication with people creates in my head and as a born introvert I sometimes simply feel the urge to escape. Do you have any copin;#translator;English;2022-12-10T13:24:19.550001;13;2022-12-10T10:08:41.603473;https://www.linkedin.com/feed/update/urn:li:activity:7007282118623928320/?actorCompanyId=1176657
M. Tufan Koç;;Minticity Türkiye DAS Akademie - Deutsche Akademie für Sprachen;Sprachen;German;2022-12-10T11:47:29.821648;2;2022-12-10T10:09:43.179327;https://www.linkedin.com/feed/update/urn:li:activity:7007285092905574400/?actorCompanyId=1176657
Sarah Bashaireh;;A few fun facts about the Korean language. It has two number systems for counting different things, about seven levels of speech each shows a different level of formality to the audience, and a unique writing system that resembles a game of Tetris 😅 Sounds challenging, but it is no doubt a fasci;#translationservices;English;2022-12-10T11:10:39.894777;4;2022-12-10T08:53:22.590814;https://www.linkedin.com/feed/update/urn:li:activity:7007257826834190337/?actorCompanyId=1176657
Leighton Nelson;;Another year on Duolingo. ✅ Language skills improvement 📚 Cultural competency 🇲🇽🇧🇷🇭🇹 Cognitive excercise 🧠 #duolingo #duolingo365 #learning #knowledge #languages #gamification #diversity #education;#languages;English;2022-12-10T10:29:19.793367;3;2022-12-10T01:11:47.555696;https://www.linkedin.com/feed/update/urn:li:activity:7007139819659100160/?actorCompanyId=1176657
